date,member_id,attend
2019-07-03,96750,True
2019-07-03,22858,True
2019-07-03,96711,True
2019-07-03,190774,True
2019-07-03,96868,True
2019-07-03,24594,True
2019-07-03,96747,True
2019-07-03,189065,True
2019-07-03,5565,True
2019-07-03,30482,True
2019-07-03,72779,True
2019-07-03,96885,True
2019-07-03,124765,True
2019-07-03,96743,True
2019-07-03,96952,True
2019-07-03,96740,True
2019-07-03,24505,True
2019-07-03,113892,True
2019-07-03,124693,True
2019-07-03,124738,True
2019-07-03,124770,True
2019-07-03,124771,True
2019-07-03,124760,True
2019-07-03,197691,True
2019-07-03,197533,True
2019-07-03,131580,True
2019-07-03,197680,True
2019-07-03,197534,True
2019-07-03,197551,True
2019-07-03,197512,True
2019-07-03,197521,True
2019-07-03,197577,True
2019-07-03,182995,True
2019-07-03,197576,True
2019-07-03,197574,True
2019-07-03,197505,True
2019-07-03,197529,True
2019-07-03,197536,True
2019-07-03,197683,True
2019-07-03,197503,True
2019-07-03,197504,True
2019-07-03,197531,True
2019-07-03,197535,True
2019-07-03,197589,True
2019-07-03,197628,True
2019-07-03,197694,True
2019-07-03,94649,True
2019-07-03,197557,True
2019-07-03,197543,False
2019-07-03,135511,True
2019-07-03,197627,True
2019-07-03,197626,True
2019-07-03,197585,True
2019-07-03,197697,True
2019-07-03,197597,True
2019-07-03,197698,True
2019-07-03,197686,True
2019-07-03,197494,True
2019-07-03,197623,True
2019-07-03,197687,True
2019-07-03,197527,True
2019-07-03,197629,True
2019-07-03,197615,True
2019-07-03,197506,True
2019-07-03,197690,True
2019-07-03,197500,True
2019-07-03,197508,True
2019-07-03,197547,True
2019-07-03,97236,True
2019-07-03,197593,True
2019-07-03,197502,True
2019-07-03,197511,True
2019-07-03,197581,True
2019-07-03,197499,True
2019-07-03,204416,False
2019-07-03,204420,False
2019-07-03,204419,False
2019-07-03,204421,False
2019-07-03,204418,False
2019-07-03,234344,False
2019-07-03,236051,False
2019-07-03,236052,False
2019-07-03,236053,False
2019-07-03,236050,False
2019-07-03,245018,False
2019-07-03,247122,False
2019-07-03,249284,False
2019-07-03,249285,False
2019-07-03,250918,False
2019-07-03,251859,False
2019-07-04,96750,True
